Statistical profiling result from isolate-0xedfe647d540-v8.log, (113727 ticks, 6288 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      8    0.0%    0.0%  LazyCompile: ~Player.self.checkPlanetCollision /home/john/Projects/Torn.Space/app.js:867:38
      8    0.0%    0.0%  LazyCompile: ~Base.self.move /home/john/Projects/Torn.Space/app.js:2076:22
      8    0.0%    0.0%  LazyCompile: *updateHeatmap /home/john/Projects/Torn.Space/app.js:3630:23
      8    0.0%    0.0%  LazyCompile: *createAsteroid /home/john/Projects/Torn.Space/app.js:3365:24
      8    0.0%    0.0%  LazyCompile: *Planet.self.tick /home/john/Projects/Torn.Space/app.js:2015:22
      8    0.0%    0.0%  Builtin: HandleApiCall
      8    0.0%    0.0%  Builtin: CallApiCallback_Argc1
      7    0.0%    0.0%  LazyCompile: ~updateQuestsR /home/john/Projects/Torn.Space/app.js:3116:23
      7    0.0%    0.0%  LazyCompile: ~sendFrame /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:399:12
      7    0.0%    0.0%  LazyCompile: ~processCallback zlib.js:486:25
      7    0.0%    0.0%  LazyCompile: ~done /home/john/Projects/Torn.Space/node_modules/async-limiter/index.js:62:14
      7    0.0%    0.0%  LazyCompile: ~Socket.packet /home/john/Projects/Torn.Space/node_modules/socket.io/lib/socket.js:220:35
      7    0.0%    0.0%  LazyCompile: ~Socket.flush /home/john/Projects/Torn.Space/node_modules/engine.io/lib/socket.js:416:35
      7    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:382:35
      7    0.0%    0.0%  LazyCompile: *sendAllSector /home/john/Projects/Torn.Space/app.js:3094:23
      7    0.0%    0.0%  LazyCompile: *onEnd /home/john/Projects/Torn.Space/node_modules/engine.io/lib/transports/websocket.js:117:18
      7    0.0%    0.0%  LazyCompile: *findBisector /home/john/Projects/Torn.Space/app.js:2966:22
      7    0.0%    0.0%  Builtin: StringAdd_ConvertLeft_NotTenured
      7    0.0%    0.0%  Builtin: CallApiCallback_Argc0
      7    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      6    0.0%    0.0%  LazyCompile: ~writeOrBuffer _stream_writable.js:365:23
      6    0.0%    0.0%  LazyCompile: ~slice buffer.js:1005:40
      6    0.0%    0.0%  LazyCompile: ~processPromiseRejections internal/process/promises.js:123:34
      6    0.0%    0.0%  LazyCompile: ~nextTick internal/process/task_queues.js:114:18
      6    0.0%    0.0%  LazyCompile: ~encodeAsString /home/john/Projects/Torn.Space/node_modules/socket.io-parser/index.js:147:24
      6    0.0%    0.0%  LazyCompile: ~Vortex.self.tick /home/john/Projects/Torn.Space/app.js:2211:22
      6    0.0%    0.0%  LazyCompile: ~Player.self.shootBeam /home/john/Projects/Torn.Space/app.js:1081:27
      6    0.0%    0.0%  LazyCompile: ~Bullet.self.tick /home/john/Projects/Torn.Space/app.js:1676:22
      6    0.0%    0.0%  LazyCompile: *newAsyncId internal/async_hooks.js:248:20
      6    0.0%    0.0%  LazyCompile: *get net.js:1615:6
      6    0.0%    0.0%  Builtin: InterpreterPushArgsThenCall
      6    0.0%    0.0%  Builtin: FastNewObject
      6    0.0%    0.0%  Builtin: Construct {1}
      5    0.0%    0.0%  LazyCompile: ~sendAllSector /home/john/Projects/Torn.Space/app.js:3094:23
      5    0.0%    0.0%  LazyCompile: ~send /home/john/Projects/Torn.Space/node_modules/ws/lib/websocket.js:315:7
      5    0.0%    0.0%  LazyCompile: ~perMessageDeflate.compress /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:349:51
      5    0.0%    0.0%  LazyCompile: ~maybeReadMore_ _stream_readable.js:581:24
      5    0.0%    0.0%  LazyCompile: ~insert internal/timers.js:309:16
      5    0.0%    0.0%  LazyCompile: ~deflateOnData /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:468:23
      5    0.0%    0.0%  LazyCompile: ~debug /home/john/Projects/Torn.Space/node_modules/engine.io/node_modules/debug/src/debug.js:66:17
      5    0.0%    0.0%  LazyCompile: ~byteLength buffer.js:499:20
      5    0.0%    0.0%  LazyCompile: ~Client.packet /home/john/Projects/Torn.Space/node_modules/socket.io/lib/client.js:162:35
      5    0.0%    0.0%  LazyCompile: *validateAsyncId internal/async_hooks.js:112:25
      5    0.0%    0.0%  LazyCompile: *sendWeapons /home/john/Projects/Torn.Space/app.js:3087:21
      5    0.0%    0.0%  LazyCompile: *sendFrame /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:399:12
      5    0.0%    0.0%  LazyCompile: *initHooksExist internal/async_hooks.js:297:24
      5    0.0%    0.0%  LazyCompile: *emit events.js:143:44
      5    0.0%    0.0%  Builtin: ObjectAssign
      5    0.0%    0.0%  Builtin: KeyedStoreIC_Megamorphic
      5    0.0%    0.0%  Builtin: KeyedStoreICTrampoline
      5    0.0%    0.0%  Builtin: FastNewClosure
      5    0.0%    0.0%  Builtin: ConstructFunction
      4    0.0%    0.0%  LazyCompile: ~writeToEngine /home/john/Projects/Torn.Space/node_modules/socket.io/lib/client.js:167:25
      4    0.0%    0.0%  LazyCompile: ~readableAddChunk _stream_readable.js:239:26
      4    0.0%    0.0%  LazyCompile: ~pushAsyncIds internal/async_hooks.js:383:22
      4    0.0%    0.0%  LazyCompile: ~processChunk zlib.js:466:22
      4    0.0%    0.0%  LazyCompile: ~handleWriteReq internal/stream_base_commons.js:24:24
      4    0.0%    0.0%  LazyCompile: ~getDefaultTriggerAsyncId internal/async_hooks.js:264:34
      4    0.0%    0.0%  LazyCompile: ~frame /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:45:15
      4    0.0%    0.0%  LazyCompile: ~doWrite _stream_writable.js:405:17
      4    0.0%    0.0%  LazyCompile: ~debug /home/john/Projects/Torn.Space/node_modules/socket.io-parser/node_modules/debug/src/debug.js:66:17
      4    0.0%    0.0%  LazyCompile: ~calculateInterceptionAngle /home/john/Projects/Torn.Space/app.js:2993:36
      4    0.0%    0.0%  LazyCompile: ~assertSize buffer.js:251:20
      4    0.0%    0.0%  LazyCompile: ~alignPool buffer.js:124:19
      4    0.0%    0.0%  LazyCompile: ~_unrefTimer net.js:340:52
      4    0.0%    0.0%  LazyCompile: ~WebSocket.send /home/john/Projects/Torn.Space/node_modules/engine.io/lib/transports/websocket.js:89:37
      4    0.0%    0.0%  LazyCompile: ~Timeout internal/timers.js:156:17
      4    0.0%    0.0%  LazyCompile: ~Socket.sendPacket /home/john/Projects/Torn.Space/node_modules/engine.io/lib/socket.js:380:40
      4    0.0%    0.0%  LazyCompile: ~Player.self.shootBullet /home/john/Projects/Torn.Space/app.js:1015:29
      4    0.0%    0.0%  LazyCompile: ~Asteroid.self.move /home/john/Projects/Torn.Space/app.js:1938:22
      4    0.0%    0.0%  LazyCompile: *write buffer.js:895:40
      4    0.0%    0.0%  LazyCompile: *isBuffer buffer.js:420:36
      4    0.0%    0.0%  LazyCompile: *insert internal/timers.js:309:16
      4    0.0%    0.0%  LazyCompile: *_compress /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:402:12
      4    0.0%    0.0%  Builtin: CallVarargs
      3    0.0%    0.0%  LazyCompile: ~zlibLimiter.push /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:321:22
      3    0.0%    0.0%  LazyCompile: ~spawnBot /home/john/Projects/Torn.Space/app.js:3272:18
      3    0.0%    0.0%  LazyCompile: ~setTimeout timers.js:121:20
      3    0.0%    0.0%  LazyCompile: ~send /home/john/Projects/Torn.Space/app.js:2410:14
      3    0.0%    0.0%  LazyCompile: ~perMessageDeflate.decompress /home/john/Projects/Torn.Space/node_modules/ws/lib/receiver.js:360:51
      3    0.0%    0.0%  LazyCompile: ~get _stream_duplex.js:119:6
      3    0.0%    0.0%  LazyCompile: ~findBisector /home/john/Projects/Torn.Space/app.js:2966:22
      3    0.0%    0.0%  LazyCompile: ~emit events.js:143:44
      3    0.0%    0.0%  LazyCompile: ~decodeString /home/john/Projects/Torn.Space/node_modules/socket.io-parser/index.js:276:22
      3    0.0%    0.0%  LazyCompile: ~debug _stream_readable.js:33:15
      3    0.0%    0.0%  LazyCompile: ~debug /home/john/Projects/Torn.Space/node_modules/socket.io/node_modules/debug/src/common.js:67:17
      3    0.0%    0.0%  LazyCompile: ~allocate buffer.js:310:18
      3    0.0%    0.0%  LazyCompile: ~adjustOffset buffer.js:988:22
      3    0.0%    0.0%  LazyCompile: ~Queue._run /home/john/Projects/Torn.Space/node_modules/async-limiter/index.js:36:32
      3    0.0%    0.0%  LazyCompile: ~Player.self.updatePolars /home/john/Projects/Torn.Space/app.js:1455:30
      3    0.0%    0.0%  LazyCompile: ~Player.self.testAfk /home/john/Projects/Torn.Space/app.js:1469:25
      3    0.0%    0.0%  LazyCompile: ~Missile.self.move /home/john/Projects/Torn.Space/app.js:2372:22
      3    0.0%    0.0%  LazyCompile: *writeGeneric internal/stream_base_commons.js:121:22
      3    0.0%    0.0%  LazyCompile: *updateQuestsB /home/john/Projects/Torn.Space/app.js:3138:23
      3    0.0%    0.0%  LazyCompile: *tryStringify /home/john/Projects/Torn.Space/node_modules/socket.io-parser/index.js:182:22
      3    0.0%    0.0%  LazyCompile: *spawnBot /home/john/Projects/Torn.Space/app.js:3272:18
      3    0.0%    0.0%  LazyCompile: *setHasTickScheduled internal/process/task_queues.js:44:29
      3    0.0%    0.0%  LazyCompile: *send /home/john/Projects/Torn.Space/app.js:2410:14
      3    0.0%    0.0%  LazyCompile: *remove internal/linkedlist.js:15:16
      3    0.0%    0.0%  LazyCompile: *onwriteDrain _stream_writable.js:492:22
