Statistical profiling result from isolate-0x2c25004c000-v8.log, (5086 ticks, 69 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: ~sendFrame /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:399:12
      2    0.0%    0.0%  LazyCompile: ~resolve path.js:971:10
      2    0.0%    0.0%  LazyCompile: ~processPromiseRejections internal/process/promises.js:123:34
      2    0.0%    0.0%  LazyCompile: ~onwriteStateUpdate _stream_writable.js:443:28
      2    0.0%    0.0%  LazyCompile: ~nextTick internal/process/task_queues.js:114:18
      2    0.0%    0.0%  LazyCompile: ~maybeReadMore_ _stream_readable.js:581:24
      2    0.0%    0.0%  LazyCompile: ~isFull internal/fixed_queue.js:67:9
      2    0.0%    0.0%  LazyCompile: ~insert internal/timers.js:309:16
      2    0.0%    0.0%  LazyCompile: ~hasBinary /home/john/Projects/Torn.Space/node_modules/has-binary2/index.js:30:20
      2    0.0%    0.0%  LazyCompile: ~finishMaybe _stream_writable.js:640:21
      2    0.0%    0.0%  LazyCompile: ~exports.decodePacket /home/john/Projects/Torn.Space/node_modules/engine.io-parser/lib/index.js:117:33
      2    0.0%    0.0%  LazyCompile: ~emitBeforeScript internal/async_hooks.js:334:26
      2    0.0%    0.0%  LazyCompile: ~doWrite _stream_writable.js:405:17
      2    0.0%    0.0%  LazyCompile: ~dirname path.js:1120:10
      2    0.0%    0.0%  LazyCompile: ~debug internal/timers.js:109:15
      2    0.0%    0.0%  LazyCompile: ~debug _stream_readable.js:33:15
      2    0.0%    0.0%  LazyCompile: ~debug /home/john/Projects/Torn.Space/node_modules/socket.io/node_modules/debug/src/common.js:67:17
      2    0.0%    0.0%  LazyCompile: ~debug /home/john/Projects/Torn.Space/node_modules/socket.io-parser/node_modules/debug/src/debug.js:66:17
      2    0.0%    0.0%  LazyCompile: ~calculateInterceptionAngle /home/john/Projects/Torn.Space/app.js:2993:36
      2    0.0%    0.0%  LazyCompile: ~basename path.js:1146:11
      2    0.0%    0.0%  LazyCompile: ~assertSize buffer.js:251:20
      2    0.0%    0.0%  LazyCompile: ~alignPool buffer.js:124:19
      2    0.0%    0.0%  LazyCompile: ~afterWrite _stream_writable.js:481:20
      2    0.0%    0.0%  LazyCompile: ~Timeout.refresh internal/timers.js:196:37
      2    0.0%    0.0%  LazyCompile: ~Socket.send.Socket.write /home/john/Projects/Torn.Space/node_modules/engine.io/lib/socket.js:366:35
      2    0.0%    0.0%  LazyCompile: ~Socket.packet /home/john/Projects/Torn.Space/node_modules/socket.io/lib/socket.js:220:35
      2    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:382:35
      2    0.0%    0.0%  LazyCompile: ~Readable.push _stream_readable.js:214:35
      2    0.0%    0.0%  LazyCompile: ~Queue._run /home/john/Projects/Torn.Space/node_modules/async-limiter/index.js:36:32
